conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
1,73E+18;Tue Dec 12 23:59:23 +0000 2023;0;@ganjarpranowo @ArsjadRasjid @mohmahfudmd Mantaps ini UMKMnya semakin maju pokoknya sayang kontak person dan link onlinenya harusnya sekalian...;1,73E+18;;ganjarpranowo;in;;0;0;0;https://twitter.com/Inews_uptudate/status/1734724659604836550;1,67E+18;Inews_uptudate
1,73E+18;Tue Dec 12 23:59:18 +0000 2023;0;@ganjarpranowo Pak Ganjar ncontoh pemimpin Nyang ramah pada siapapun tetap rendah hati dan menyapa warga nya;1,73E+18;;ganjarpranowo;in;;0;0;0;https://twitter.com/FahriArsana/status/1734724642164912455;1,70E+18;FahriArsana
1,73E+18;Tue Dec 12 23:59:18 +0000 2023;0;@Indonesia_Pedia @ganjarpranowo Pak Ganjar teruslah menjadi pilar dalam membangun budaya kerja yang bersih dari korupsi. Langkah Anda penting untuk masa depan yang lebih baik! #GanjarSikatKorupsi #LanjutGANsemuamurah #LanjutGANsemuakerja;1,73E+18;;Indonesia_Pedia;in;;0;0;0;https://twitter.com/nkrijayasetia/status/1734724638813634809;1,71E+18;nkrijayasetia
1,73E+18;Tue Dec 12 23:59:17 +0000 2023;2;@Hasbil_Lbs @prabowo @ganjarpranowo @aniesbaswedan Nntn siaran yg mana bos? Ky ny junjungan mu tantrum deh;1,73E+18;;Hasbil_Lbs;in;IndONEsia;0;0;0;https://twitter.com/auliaalmi/status/1734724636364185613;102473688;auliaalmi
1,73E+18;Tue Dec 12 23:59:14 +0000 2023;0;@Gus_Raharjo @ganjarpranowo Pak Ganjar memng selalu nyata perkataan dan perbuatannya..;1,73E+18;;Gus_Raharjo;in;Malang, Jawa Timur;0;0;0;https://twitter.com/fanniajem/status/1734724625177944207;1,44E+18;fanniajem
1,73E+18;Tue Dec 12 23:59:09 +0000 2023;0;@griselruiz88 @ganjarpranowo @mohmahfudmd @prabowo @gibran_tweet @skatuu @kopikumantap @RahmatAminuddin Jokowi effect sangat berpengaruh terhadap suara banteng apalagi setelah ditinggalkan;1,73E+18;;griselruiz88;in;;0;0;0;https://twitter.com/benoalatawii/status/1734724601006219556;7,46E+17;benoalatawii
1,73E+18;Tue Dec 12 23:59:05 +0000 2023;0;@Hasbil_Lbs @prabowo @ganjarpranowo @aniesbaswedan Ini lg review debat capres tahun 2014 apa 2019 bang? Wkwk;1,73E+18;;Hasbil_Lbs;in;;0;0;0;https://twitter.com/jz4_ryan/status/1734724584187052256;2947867345;jz4_ryan
1,73E+18;Tue Dec 12 23:59:02 +0000 2023;0;@ganjarpranowo Masyaallah tak lupa selalu menyapa masyarakat pak ganjar;1,73E+18;;ganjarpranowo;in;Grogol Petamburan, Indonesia;0;0;0;https://twitter.com/cininicana/status/1734724572895928438;1,71E+18;cininicana
1,73E+18;Tue Dec 12 23:59:00 +0000 2023;0;@ganjarpranowo Pak Ganjar sosok pemimpin yang tidak hanya memimpin tetapi juga berjalan bersama rakyatnya. Kesatuan adalah kuncinya kesejahteraan adalah tujuannya;1,73E+18;;ganjarpranowo;in;indonesia;0;0;0;https://twitter.com/qubhd/status/1734724565589516775;1,50E+18;qubhd
1,73E+18;Tue Dec 12 23:58:59 +0000 2023;0;@ganjarpranowo Capres gue paling kereen maju terus pak Ganjar;1,73E+18;;ganjarpranowo;in;;0;0;0;https://twitter.com/dumplisg/status/1734724559121887553;8,07E+17;dumplisg
1,73E+18;Tue Dec 12 23:58:47 +0000 2023;0;@Dennysiregar7 @aniesbaswedan @prabowo @ganjarpranowo Amiin bgus dong menata hati dan kata yaa ;1,73E+18;;Dennysiregar7;in;NEGERI  AGUNHG  BANDAR  NEGERI;0;0;0;https://twitter.com/AgusGuslaini/status/1734724509708779888;1,63E+18;AgusGuslaini
1,73E+18;Tue Dec 12 23:58:46 +0000 2023;0;@ganjarpranowo Alhamdulillah pak ganjar terus seperti ini ya pak terjun langsung menyapa warga dan selalu rendah hati di manapun;1,73E+18;;ganjarpranowo;in;ㅋㅋㅋㅋㅋ;0;0;0;https://twitter.com/pradanow/status/1734724505426366730;1,56E+18;pradanow
1,73E+18;Tue Dec 12 23:58:43 +0000 2023;0;Moment yang menggugah hati para emak-emak. Keluarga mas @ganjarpranowo patut untuk contoh yang baik dalam sebuah keluarga.;1,73E+18;;;in;Kalimantan Selatan, Indonesia;0;0;0;https://twitter.com/fx_leoneuler/status/1734724494525399539;3970978754;fx_leoneuler
1,73E+18;Tue Dec 12 23:58:40 +0000 2023;0;@karepkulah @fadjroeL @ganjarpranowo @aniesbaswedan Yg lain ngedabrus semua... apalagi yg bilang piara warisan Belanda lebih baik drpd ke IKN... ;1,73E+18;;karepkulah;in;BANJARMASIN, SOUTH BORNEO;0;0;0;https://twitter.com/DaniEl_Lasombo/status/1734724482294776276;1963773133;DaniEl_Lasombo
1,73E+18;Tue Dec 12 23:58:40 +0000 2023;0;@Kingcube12 @aewin86 @aniesbaswedan Terbukti akun goblok khan... Pendukung @ganjarpranowo di X itu tinggal akun² goblok yang adminnya hanya 1-2 orang Dikiranya saya nggak paham pancinganmu. Ganjar suruh menjawab itu katanya Wadas dah beres dah dibayar 22;1,73E+18;;Kingcube12;in;Karanganyar, lereng Lawu;0;4;0;https://twitter.com/ariefbudiawan7/status/1734724479329460730;714965442;ariefbudiawan7
1,73E+18;Tue Dec 12 23:58:39 +0000 2023;0;@Generasi_MudaNU @ganjarpranowo Paling juga HTI garis lucu;1,73E+18;;Generasi_MudaNU;in;Walacea;0;0;0;https://twitter.com/PapaMolluccan/status/1734724477748199482;235011732;PapaMolluccan
1,73E+18;Tue Dec 12 23:58:35 +0000 2023;0;@ganjarpranowo @ArsjadRasjid @mohmahfudmd Gass harus beli sih ini produk merchendise nya beneran keren banget lokal pride pula;1,73E+18;;ganjarpranowo;in;Indramayu, Indonesia;0;0;0;https://twitter.com/WendySm49980865/status/1734724460257923157;1,64E+18;WendySm49980865
1,73E+18;Tue Dec 12 23:58:33 +0000 2023;0;@ganjarpranowo Pak Ganjar tetap selalu merakyat dan membumi sebagai pemimpin ya..;1,73E+18;;ganjarpranowo;in;Malang, Jawa Timur;0;0;0;https://twitter.com/fanniajem/status/1734724452980797583;1,44E+18;fanniajem
1,73E+18;Tue Dec 12 23:58:32 +0000 2023;0;@Gus_Raharjo @ganjarpranowo Kita butuh pemimpin yang tegas dan tidak takut dengan para koruptor;1,73E+18;;Gus_Raharjo;in;Indonesia;0;0;0;https://twitter.com/bayilutcju/status/1734724448312496480;1,67E+18;bayilutcju
1,73E+18;Tue Dec 12 23:58:29 +0000 2023;0;@nongandah @ganjarpranowo Pencitraan ini mah ketika bilang hoby nonton Bokep dengan mengakui bukan suatu masalah. Melihat aurat wanita lain trus membandingkannya masih bisa gitu dibilang harmonis?;1,73E+18;;nongandah;in;;0;1;0;https://twitter.com/pe2nn/status/1734724436111294862;308521149;pe2nn
1,73E+18;Tue Dec 12 23:58:26 +0000 2023;0;@sasbudiarjo @ganjarpranowo Wan bacot jualan TUKANG TIPU... pendukungnya masih gak sadar diri dimaki Prabowo di debat. Hhhhhhhh;1,73E+18;;sasbudiarjo;in;Manchester, England;0;0;0;https://twitter.com/t4t4sim/status/1734724421234082259;225403887;t4t4sim
1,73E+18;Tue Dec 12 23:58:19 +0000 2023;9;@Hasbil_Lbs @caponkbiru @prabowo @ganjarpranowo @aniesbaswedan Biasakan nnton full bang jgn bagian prabowonya saja ;1,73E+18;;Hasbil_Lbs;in;;0;1;1;https://twitter.com/YgYuzu/status/1734724392243146859;1,66E+18;YgYuzu
1,73E+18;Tue Dec 12 23:58:17 +0000 2023;0;@ganjarpranowo Wah Pak Ganjar ud di Jakarta semoga bisa ketemu Pak Ganjar yang baik hati..;1,73E+18;;ganjarpranowo;in;;0;0;0;https://twitter.com/Mika_mo3/status/1734724384211050687;1,59E+18;Mika_mo3
1,73E+18;Tue Dec 12 23:58:17 +0000 2023;3;@Hasbil_Lbs @prabowo @ganjarpranowo @aniesbaswedan Hasbi nonton nya di mana apa nonton di TV Rusak yah sehingga rusak jg menyimpulkan wkwkwkwk;1,73E+18;;Hasbil_Lbs;in;;0;0;0;https://twitter.com/DeddyVespa/status/1734724383053336806;1,24E+18;DeddyVespa
1,73E+18;Tue Dec 12 23:58:04 +0000 2023;0;@Gus_Raharjo @ganjarpranowo Beliau tahu korupsi lah yang membuat banyak rakyat Indonesia menderita;1,73E+18;;Gus_Raharjo;in;Indonesia;0;0;0;https://twitter.com/empatbagidua/status/1734724331836731726;1,69E+18;empatbagidua
1,73E+18;Tue Dec 12 23:58:03 +0000 2023;0;@griselruiz88 @ganjarpranowo @mohmahfudmd @prabowo @gibran_tweet @skatuu @kopikumantap @RahmatAminuddin ganjar mpud kian tergerus karena rakyat yang cinta jokowi bersuara bersama dukung Prabowo Gibran;1,73E+18;;griselruiz88;in;;0;0;0;https://twitter.com/benjimascolo222/status/1734724323871686859;8,10E+17;benjimascolo222
1,73E+18;Tue Dec 12 23:57:54 +0000 2023;0;@ganjarpranowo Tetap semangat dan ramah kepada warga wujudkan Indonesia lebih baik;1,73E+18;;ganjarpranowo;in;;0;0;0;https://twitter.com/norafitri2023/status/1734724286865420774;1,70E+18;norafitri2023
1,73E+18;Tue Dec 12 23:57:45 +0000 2023;1;@ganjarpranowo @ArsjadRasjid @mohmahfudmd Semakin yakin akan kepemimpinan pak ganjar mahfud 2024.. Salam tiga jari;1,73E+18;;ganjarpranowo;in;Indonesia ;0;0;0;https://twitter.com/GassPool54/status/1734724249338978382;1,71E+18;GassPool54
1,73E+18;Tue Dec 12 23:57:44 +0000 2023;0;@AirinDatangLagi @ganjarpranowo Korban wadas mpok;1,73E+18;;AirinDatangLagi;in;jakarta;0;0;0;https://twitter.com/pelenjr/status/1734724247820644801;3165479707;pelenjr
1,73E+18;Tue Dec 12 23:57:40 +0000 2023;0;@ganjarpranowo Saya salut kepada Pak Ganjar usul jadi salah satu kandidat Mentri Presiden Anis.;1,73E+18;;ganjarpranowo;in;;0;0;0;https://twitter.com/kasman_lauda/status/1734724227058790471;1,29E+18;kasman_lauda
1,73E+18;Tue Dec 12 23:57:37 +0000 2023;0;@ganjarpranowo @ArsjadRasjid @mohmahfudmd Kontak admin shopnya aturan sekalian di taq atuh min biar bisa buka etalase semuanya apa pengen beli nih jaketnya aku...;1,73E+18;;ganjarpranowo;in;;0;0;0;https://twitter.com/Reporter_Update/status/1734724215872602562;1,67E+18;Reporter_Update
1,73E+18;Tue Dec 12 23:57:34 +0000 2023;0;@ganjarpranowo Insyaallah akan Anies Baswedan pada waktunya ️;1,73E+18;;ganjarpranowo;in;;0;0;0;https://twitter.com/Wal16494685Imam/status/1734724204791230646;1,44E+18;Wal16494685Imam
1,73E+18;Tue Dec 12 23:57:23 +0000 2023;0;@NoviBudi78 @aniesbaswedan @ganjarpranowo @prabowo Ini Samsul ngapain sih? https://t.co/B9ZBDQIRXD;1,73E+18;https://pbs.twimg.com/media/GBL6bU1aUAAVXto.jpg;NoviBudi78;in;;0;0;0;https://twitter.com/Edis68681827/status/1734724156154052948;1,39E+18;Edis68681827
1,73E+18;Tue Dec 12 23:57:15 +0000 2023;1;@iam_zelt @Fr4nst @icikiwir_08 @Esteht4war @kikysaputrii @NajwaShihab @zy_zy_its_me @BANGSAygSUJUD @wiena_kinasih @tjitrosoenarjo1 @gtobing2903 @mas_veel @Minietweets_ @mpoklela7 @ganjarpranowo @PDI_Perjuangan @CCICPolri Menarik ini ternyata pasukannya @i;1,73E+18;;iam_zelt;in;Banyuwangi, Indonesia;0;1;0;https://twitter.com/pimenimiklegi/status/1734724126324175140;426444880;pimenimiklegi
1,73E+18;Tue Dec 12 23:57:12 +0000 2023;0;@ganjarpranowo Momen yang tidak terlupakan joging sambil menyapa masyarakat begitu ramah dan tulusnya Pak Ganjar.;1,73E+18;;ganjarpranowo;in;;0;0;0;https://twitter.com/ma_tasendu/status/1734724113326133512;1,71E+18;ma_tasendu
1,73E+18;Tue Dec 12 23:57:12 +0000 2023;0;@ganjarpranowo terbaik lah Pak Ganjar ini datang dan menyapa masyarakat. Berinteraksi dengan mereka;1,73E+18;;ganjarpranowo;in;Indonesia;0;0;0;https://twitter.com/Leni_Marleni5/status/1734724111530934278;1,69E+18;Leni_Marleni5
1,73E+18;Tue Dec 12 23:57:10 +0000 2023;0;@EmakTahes @ZulkifliLubis69 @prabowo @ganjarpranowo @aniesbaswedan Kalah apanya!!! Dagelan;1,73E+18;;EmakTahes;in;Indonesia tercinta;0;0;0;https://twitter.com/Raden_Mas_Budi/status/1734724102953558273;8,21E+17;Raden_Mas_Budi
1,73E+18;Tue Dec 12 23:57:07 +0000 2023;0;@ganjarpranowo @ArsjadRasjid @mohmahfudmd Keren pak ganjar sangat membantu perekonomian pelaku UMKM kita nih kualitasnnya juga ngga kalah keren lho;1,73E+18;;ganjarpranowo;in;Indonesia;0;0;0;https://twitter.com/BrittanyBa495/status/1734724091855450261;1,64E+18;BrittanyBa495
1,73E+18;Tue Dec 12 23:57:01 +0000 2023;0;@ganjarpranowo @ArsjadRasjid @mohmahfudmd Mantap nih UMK maju bersama ganjar mahfud;1,73E+18;;ganjarpranowo;in;Indonesia ;0;0;0;https://twitter.com/Garudhaa/status/1734724067243258351;1,69E+18;Garudhaa
1,73E+18;Tue Dec 12 23:57:01 +0000 2023;0;@NoviBudi78 @aniesbaswedan @ganjarpranowo @prabowo Baru menghadapi debat aja udh keringat dingin gmn menghadapi masalah riil bangsa ini;1,73E+18;;NoviBudi78;in;Jakarta, Indonesia;0;0;0;https://twitter.com/mr_roesdy/status/1734724066811224562;491262336;mr_roesdy
1,73E+18;Tue Dec 12 23:56:56 +0000 2023;0;@FranTonga @ganjarpranowo Jangan begitu pak ganjar pranowo jago bicara loh debaters handal loh;1,73E+18;;FranTonga;in;;0;0;0;https://twitter.com/Mbahhardiman/status/1734724045948789157;1,47E+18;Mbahhardiman
1,73E+18;Tue Dec 12 23:56:54 +0000 2023;0;@CVNKJL @ganjarpranowo Kalau mereka disanding dua memang ada harapan memajukan Indonesia ;1,73E+18;;CVNKJL;in;Nanggroe Aceh Darussalam 🇹🇷;0;1;1;https://twitter.com/zr_izzul/status/1734724037820215758;249710869;zr_izzul
1,73E+18;Tue Dec 12 23:56:54 +0000 2023;0;@ganjarpranowo Senyum ceria melihat sosok pemimpin yang ramah dan rendah hati;1,73E+18;;ganjarpranowo;in;Indonesia;0;0;0;https://twitter.com/ciyaciyyap/status/1734724037274939733;1,68E+18;ciyaciyyap
1,73E+18;Tue Dec 12 23:56:47 +0000 2023;0;@gfejecsjscwg @griselruiz88 @ganjarpranowo @mohmahfudmd @prabowo @gibran_tweet @skatuu @kopikumantap @RahmatAminuddin Jawa timur dan barat sudah merata mas;1,73E+18;;gfejecsjscwg;in;;0;0;0;https://twitter.com/benhogge7/status/1734724006891422105;1727485561;benhogge7
1,73E+18;Tue Dec 12 23:56:39 +0000 2023;0;@Hasbil_Lbs @prabowo @ganjarpranowo @aniesbaswedan Mau ketawa takut dosa.;1,73E+18;;Hasbil_Lbs;in;;0;0;0;https://twitter.com/hendrotejo2809/status/1734723972087079001;1,69E+18;hendrotejo2809
1,73E+18;Tue Dec 12 23:56:29 +0000 2023;0;@Hasbil_Lbs @ganjarpranowo @prabowo Saya akan saya ingin saya nganu... ;1,73E+18;;Hasbil_Lbs;in;;0;0;0;https://twitter.com/NusantaraRap/status/1734723929435144415;183119235;NusantaraRap
1,73E+18;Tue Dec 12 23:56:28 +0000 2023;1;@NoviBudi78 @aniesbaswedan @ganjarpranowo @prabowo Tetep pilih yg nomor SATU semoga menang SATU putaran AMIN https://t.co/1z7axvoRUK;1,73E+18;https://pbs.twimg.com/media/GBL6N99aoAA2uc9.jpg;NoviBudi78;in;;0;0;0;https://twitter.com/arema7055/status/1734723926436294762;1,69E+18;arema7055
1,73E+18;Tue Dec 12 23:56:27 +0000 2023;1;@sasbudiarjo @ganjarpranowo Kayaknya nggak mau deh AMIN nggak pro realisasi IKN beda idealismenya;1,73E+18;;sasbudiarjo;in;inti bumi;0;2;0;https://twitter.com/Robinbinbin1/status/1734723925001810157;1341136537;Robinbinbin1
1,73E+18;Tue Dec 12 23:56:24 +0000 2023;0;@ganjarpranowo Ganjar Pranowo murah senyum. Dimanapun berada Ganjar menganggap rumahnya;1,73E+18;;ganjarpranowo;in;;0;0;0;https://twitter.com/Balmonn10/status/1734723912314081288;1,69E+18;Balmonn10
1,73E+18;Tue Dec 12 23:56:21 +0000 2023;0;@ganjarpranowo Sakumpami di sukani sepatunipun kula kersa loh ndoro;1,73E+18;;ganjarpranowo;in;;0;0;0;https://twitter.com/peminumk8pi/status/1734723898174853323;1,24E+18;peminumk8pi
1,73E+18;Tue Dec 12 23:56:17 +0000 2023;0;@Hasbil_Lbs @prabowo @ganjarpranowo @aniesbaswedan Ini debat apa anak SD lagi ngomong ke ayah nya ya?;1,73E+18;;Hasbil_Lbs;in;;0;0;0;https://twitter.com/Roychand17/status/1734723882698014918;1,28E+18;Roychand17
1,73E+18;Tue Dec 12 23:56:14 +0000 2023;0;@Indonesia_Pedia @ganjarpranowo Biar tau sekalian kan pak prabowo gimana kinerja pak ganjar *#GanjarSikatKorupsi* #LanjutGANsemuamurah #LanjutGANsemuakerja;1,73E+18;;Indonesia_Pedia;in;;0;0;0;https://twitter.com/anronioevan/status/1734723870396121271;1,72E+18;anronioevan
1,73E+18;Tue Dec 12 23:56:12 +0000 2023;0;@Opiniku018 @NoviBudi78 @aniesbaswedan @ganjarpranowo @prabowo istilah jawa : ngewel bos sory yeee sory yee aowkwowkwok;1,73E+18;;Opiniku018;in;;0;0;0;https://twitter.com/pargiant/status/1734723860250178010;1,28E+18;pargiant
1,73E+18;Tue Dec 12 23:56:10 +0000 2023;0;@ganjarpranowo memang kelihatan cerdasnya. Makanya anak pak @ganjarpranowo Alam Ganjar ngikut bapaknya sama-sama Cerdas. Aku sangat respek dengan sikap Alam Ganjar yang cerdas dan humble. Bukti orang tuanya sukses mendidik anaknya dunia akhirat.;1,73E+18;;ganjarpranowo;in;Nanggroe Aceh Darussalam 🇹🇷;0;0;0;https://twitter.com/zr_izzul/status/1734723850418675928;249710869;zr_izzul
1,73E+18;Tue Dec 12 23:56:07 +0000 2023;0;@ganjarpranowo @ArsjadRasjid @mohmahfudmd Official merchandise Ganjar-Mahfud MD sudah di FX Sudirman nih. Koleksinya lengkap dan cakep banget seriusan ini hasil UMKM keren ya bisa secakep itu;1,73E+18;;ganjarpranowo;in;Indonesia;0;0;0;https://twitter.com/bolukaramelegit/status/1734723840138457579;1,71E+18;bolukaramelegit
1,73E+18;Tue Dec 12 23:56:06 +0000 2023;0;@ganjarpranowo @ArsjadRasjid @mohmahfudmd Wahh keren keren lho produknya lokal pride pula nih auto beli sih;1,73E+18;;ganjarpranowo;in;Indonesia;0;0;0;https://twitter.com/fetzner_di61104/status/1734723836212564190;1,64E+18;fetzner_di61104
1,73E+18;Tue Dec 12 23:55:04 +0000 2023;0;@ganjarpranowo Tetap semangat buat rakyat no 3 yg slu di hati ku;1,73E+18;;ganjarpranowo;in;;0;0;0;https://twitter.com/SalmiSa11153230/status/1734723575154954588;1,64E+18;SalmiSa11153230
1,73E+18;Tue Dec 12 23:55:00 +0000 2023;0;Royhan Akbar optimistis ayahnya akan tampil percaya diri pada debat kedua #LanjutGAN #LanjutGANsemuakerja #LanjutGANsemuamurah #GanjarSikatKorupsi #GanjarMahfud #GanjarPranowo #GerakCepat #MahfudMD #IndonesiaUnggul #IndonesiaLebihBaik #DebatCapres https://t.co/FeTCKLq12Q;1,73E+18;;;in;iNews Tower;0;0;1;https://twitter.com/officialinews_/status/1734723556913696838;132078023;officialinews_
1,73E+18;Tue Dec 12 23:54:59 +0000 2023;0;@ganjarpranowo Salah satu cara bagus untuk lebih dekat dan lebih mengenal rakyat ini;1,73E+18;;ganjarpranowo;in;Indonesia;0;0;0;https://twitter.com/bayilutcju/status/1734723555118797287;1,67E+18;bayilutcju
1,73E+18;Tue Dec 12 23:54:57 +0000 2023;0;@cembok260383 @ganjarpranowo Sepakat orang² inilah yg membuat keterpilihan ganjar pranowo terganggu dan malah pindah ke capres lain;1,73E+18;;cembok260383;in;;0;0;0;https://twitter.com/Mbahhardiman/status/1734723543395709314;1,47E+18;Mbahhardiman
1,73E+18;Tue Dec 12 23:54:56 +0000 2023;0;@NoviBudi78 @aniesbaswedan @ganjarpranowo @prabowo Sok jawa lu cawapres hasil dari curang kok bawa2 nama Allah;1,73E+18;;NoviBudi78;in;East Java, Indonesia;0;0;0;https://twitter.com/Fz1403/status/1734723541906665828;3167605621;Fz1403
1,73E+18;Tue Dec 12 23:54:51 +0000 2023;0;@nongandah @ganjarpranowo Ganjar-Mahfud pasti m3nang #GanjarSikatKorupsi #LanjutGANsemuamurah #LanjutGANsemuakerja;1,73E+18;;nongandah;in;;0;0;0;https://twitter.com/ahmadwijaya81/status/1734723519114838027;1,71E+18;ahmadwijaya81
1,73E+18;Tue Dec 12 23:54:51 +0000 2023;0;@Gus_Raharjo @ganjarpranowo Pak Ganjar Pranowo adalah sosok yang layak diperjuangkan menjadi pemimpin Indonesia;1,73E+18;;Gus_Raharjo;in;Indonesia;0;0;0;https://twitter.com/bolukaramelegit/status/1734723518884131327;1,71E+18;bolukaramelegit
1,73E+18;Tue Dec 12 23:54:47 +0000 2023;0;@NoviBudi78 @aniesbaswedan @ganjarpranowo @prabowo Nanti pas debat cawapres lebih tegang lagi para pendukung prabowo;1,73E+18;;NoviBudi78;in;;0;0;0;https://twitter.com/AbdiDal88007234/status/1734723503205781526;1,32E+18;AbdiDal88007234
1,73E+18;Tue Dec 12 23:54:42 +0000 2023;0;@Indonesia_Pedia @ganjarpranowo paling bnr deh pa ganjar dalam program apapun;1,73E+18;;Indonesia_Pedia;in;;0;0;0;https://twitter.com/Capri29_/status/1734723484612546567;1,70E+18;Capri29_
1,73E+18;Tue Dec 12 23:54:36 +0000 2023;2;@mdrfhyt @ganjarpranowo Kalo boleh ada orang yg harus disalahkan ya PDIP sebagai partai penguasa 10 tahun 2009 ikut gandeng Prabowo dan beberapa aktivos PRD yg semalam sorak ceria akan jawaban Prabowo. Menjijikan. Gw gen Z yg belajar soal ini. Tidak panta;1,73E+18;;mdrfhyt;in;;0;3;1;https://twitter.com/herrysho/status/1734723457714434279;1,63E+18;herrysho
1,73E+18;Tue Dec 12 23:54:35 +0000 2023;0;@RIarsenal17 @erasmus70 @ganjarpranowo @aniesbaswedan @memelord_666666 100k per posting aja diliat tadi udah ada belasan lumayan kan dapet umr jogja 1hari ;1,73E+18;;RIarsenal1762;in;;0;0;0;https://twitter.com/Otet243/status/1734723451859210596;1,11E+18;Otet243
1,73E+18;Tue Dec 12 23:54:30 +0000 2023;0;Fakta setelah debat Ganjar Pranowo membuktikan hanya satu putaran pertama menang presiden RI;1,73E+18;;;in;;0;0;0;https://twitter.com/S4ndiyansyah/status/1734723431961383218;1,73E+18;S4ndiyansyah
1,73E+18;Tue Dec 12 23:54:29 +0000 2023;0;@ganjarpranowo Tetap ramah menyapa para warga meski bapak sudah tidak lagi menjabat sebagai Gubernur ;1,73E+18;;ganjarpranowo;in;;0;0;0;https://twitter.com/BiantaraCahya/status/1734723426450022790;1,47E+18;BiantaraCahya
1,73E+18;Tue Dec 12 23:54:28 +0000 2023;0;@Gus_Raharjo @ganjarpranowo Pak ganjar pemimpin yg berani dan punya nyali untuk memperbaiki keadaan Indonesia;1,73E+18;;Gus_Raharjo;in;Indonesia ;0;0;0;https://twitter.com/Kejora_021/status/1734723425003078052;1,45E+18;Kejora_021
1,73E+18;Tue Dec 12 23:54:23 +0000 2023;0;@kenapagituyakk @PolJokesID @ganjarpranowo Padahal kemarin patah sama sukuna;1,73E+18;;kenapagituyakk;in;Antarctica;0;0;0;https://twitter.com/GuitarsCute/status/1734723403674984830;7,78E+17;GuitarsCute
